Block Size (MB),Trial Num,Allocation Time (ms),Write Time (ms),Read Time (ms),Free Time (ms)
500,96,0.005,1412.921,1412.891,0.017
500,97,0.005,1412.904,1412.939,0.014
500,98,0.004,1412.940,1412.914,0.017
500,99,0.005,1412.891,1412.900,0.017
500,100,0.004,1412.874,1412.931,0.016
600,1,0.019,1695.467,1695.481,0.016
600,2,0.004,1695.457,1695.406,0.016
600,3,0.005,1695.531,1695.501,0.017
600,4,0.005,1695.519,1695.479,0.017
600,5,0.004,1695.466,1695.510,0.017
600,6,0.005,1695.467,1695.461,0.017
600,7,0.005,1695.500,1695.455,0.016
600,8,0.005,1695.540,1695.480,0.016
600,9,0.005,1695.471,1695.513,0.015
600,10,0.004,1695.449,1695.435,0.012
600,11,0.004,1695.477,1695.465,0.016
600,12,0.005,1695.534,1695.463,0.017
600,13,0.005,1695.531,1695.456,0.017
600,14,0.004,1695.446,1695.510,0.017
600,15,0.005,1695.496,1695.534,0.016
600,16,0.005,1695.482,1695.471,0.016
600,17,0.004,1695.540,1695.522,0.017
600,18,0.005,1695.493,1695.485,0.017
600,19,0.005,1695.427,1695.443,0.016
600,20,0.004,1695.494,1695.506,0.017
600,21,0.005,1695.534,1695.486,0.017
600,22,0.005,1695.443,1695.496,0.015
600,23,0.004,1695.548,1695.508,0.017
600,24,0.005,1695.502,1695.523,0.018
600,25,0.005,1695.487,1695.514,0.016
600,26,0.004,1695.499,1695.576,0.017
600,27,0.005,1695.513,1695.499,0.015
600,28,0.004,1695.491,1695.484,0.017
600,29,0.005,1695.482,1695.492,0.016
600,30,0.005,1695.550,1695.481,0.016
600,31,0.004,1695.462,1695.506,0.017
600,32,0.005,1695.447,1695.533,0.016
600,33,0.005,1695.491,1695.486,0.017
600,34,0.004,1695.486,1695.487,0.016
600,35,0.005,1695.518,1695.469,0.016
600,36,0.005,1695.476,1695.519,0.017
600,37,0.005,1695.531,1695.464,0.014
600,38,0.004,1695.523,1695.474,0.017
600,39,0.004,1695.491,1695.490,0.017
600,40,0.004,1695.541,1695.529,0.016
600,41,0.005,1695.527,1695.478,0.017
600,42,0.005,1695.456,1695.545,0.016
600,43,0.005,1695.557,1695.519,0.017
600,44,0.004,1695.518,1695.447,0.017
600,45,0.004,1695.468,1695.466,0.017
600,46,0.004,1695.512,1695.511,0.017
600,47,0.005,1695.477,1695.497,0.017
600,48,0.005,1695.503,1695.451,0.016
600,49,0.005,1695.470,1695.459,0.017
600,50,0.004,1695.454,1695.468,0.016
600,51,0.004,1695.485,1695.448,0.016
600,52,0.004,1695.457,1695.520,0.016
600,53,0.005,1695.487,1695.454,0.018
600,54,0.005,1695.488,1695.483,0.017
600,55,0.005,1695.499,1695.487,0.017
600,56,0.005,1695.512,1695.474,0.017
600,57,0.005,1695.473,1695.479,0.016
600,58,0.005,1695.497,1695.529,0.017
600,59,0.005,1695.502,1695.459,0.017
600,60,0.004,1695.526,1695.502,0.016
600,61,0.004,1695.439,1695.517,0.013
600,62,0.003,1695.457,1695.454,0.017
600,63,0.004,1695.482,1695.492,0.017
600,64,0.005,1695.454,1695.493,0.016
600,65,0.004,1695.436,1695.522,0.016
600,66,0.005,1695.512,1695.451,0.016
600,67,0.005,1695.558,1695.546,0.016
600,68,0.004,1695.499,1695.501,0.017
600,69,0.005,1695.464,1695.473,0.017
600,70,0.005,1695.480,1695.491,0.014
600,71,0.005,1695.439,1695.478,0.014
600,72,0.003,1695.454,1695.465,0.017
600,73,0.004,1695.503,1695.507,0.016
600,74,0.005,1695.531,1695.534,0.017
600,75,0.005,1695.475,1695.502,0.012
600,76,0.004,1695.545,1695.497,0.016
600,77,0.005,1695.475,1695.484,0.015
600,78,0.004,1695.497,1695.488,0.017
600,79,0.005,1695.534,1695.528,0.017
600,80,0.004,1695.442,1695.512,0.017
600,81,0.005,1695.446,1695.498,0.016
600,82,0.004,1695.479,1695.468,0.017
600,83,0.005,1695.503,1695.513,0.016
600,84,0.004,1695.549,1695.480,0.016
600,85,0.004,1695.502,1695.473,0.016
600,86,0.005,1695.473,1695.562,0.017
600,87,0.005,1695.547,1695.488,0.016
600,88,0.005,1695.502,1695.550,0.017
600,89,0.005,1695.516,1695.527,0.014
600,90,0.004,1695.509,1695.519,0.017
600,91,0.004,1695.462,1695.438,0.016
600,92,0.005,1695.476,1695.521,0.017
600,93,0.005,1695.443,1695.522,0.016
600,94,0.005,1695.492,1695.496,0.015
600,95,0.005,1695.493,1695.499,0.016
600,96,0.005,1695.447,1695.535,0.016
600,97,0.004,1695.537,1695.506,0.017
600,98,0.004,1695.530,1695.525,0.009
600,99,0.002,1695.466,1695.444,0.017
600,100,0.004,1695.549,1695.502,0.016
700,1,0.019,1978.066,1978.085,0.018
700,2,0.005,1978.067,1978.139,0.017
700,3,0.005,1978.069,1978.096,0.016
700,4,0.005,1978.029,1978.082,0.018
700,5,0.004,1978.049,1978.052,0.017
700,6,0.005,1978.114,1978.048,0.017
700,7,0.005,1978.134,1978.133,0.017
700,8,0.005,1978.099,1978.055,0.018
700,9,0.005,1978.041,1978.087,0.017
700,10,0.004,1978.073,1978.034,0.017
700,11,0.005,1978.083,1978.140,0.018
700,12,0.004,1978.029,1978.033,0.017
700,13,0.004,1978.030,1978.086,0.017
700,14,0.004,1978.114,1978.122,0.017
700,15,0.005,1978.086,1978.115,0.018
700,16,0.005,1978.098,1978.054,0.017
700,17,0.005,1978.049,1978.059,0.017
700,18,0.005,1978.055,1978.081,0.015
700,19,0.005,1978.104,1978.075,0.016
700,20,0.004,1978.066,1978.043,0.012
700,21,0.004,1978.068,1978.110,0.018
700,22,0.005,1978.074,1978.110,0.018
700,23,0.004,1978.081,1978.045,0.017
700,24,0.004,1978.056,1978.141,0.016
700,25,0.004,1978.129,1978.079,0.018
700,26,0.005,1978.095,1978.071,0.018
700,27,0.004,1978.048,1978.083,0.017
700,28,0.005,1978.083,1978.096,0.016
700,29,0.005,1978.107,1978.045,0.017
700,30,0.005,1978.023,1978.053,0.015
700,31,0.004,1978.115,1978.141,0.017
700,32,0.005,1978.091,1978.006,0.017
700,33,0.004,1977.996,1978.046,0.016
700,34,0.005,1978.087,1978.072,0.017
700,35,0.005,1978.064,1978.548,0.018
700,36,0.004,1978.063,1978.030,0.017
700,37,0.004,1978.048,1978.044,0.017
700,38,0.005,1978.038,1978.017,0.017
700,39,0.005,1978.093,1978.061,0.017
700,40,0.006,1978.085,1978.149,0.017
700,41,0.005,1978.065,1978.042,0.017
700,42,0.005,1978.049,1978.038,0.018
700,43,0.005,1978.032,1978.082,0.018
700,44,0.004,1978.103,1978.112,0.017
700,45,0.005,1978.101,1978.082,0.017
700,46,0.004,1978.137,1978.094,0.018
700,47,0.005,1978.107,1978.073,0.017
700,48,0.005,1978.192,1978.179,0.017
700,49,0.005,1978.102,1978.054,0.018
700,50,0.005,1978.265,1978.161,0.017
700,51,0.005,1978.145,1978.340,0.017
700,52,0.005,1978.189,1978.370,0.018
