Number of Processes,Memory Used (MB),Time Elapsed (ms)
2242,12276.375,5720201.904535294
2243,12280.0859375,5722764.181613922
2244,12300.25,5725309.958457947
2245,12301.84375,5727832.244157791
2246,12328.890625,5730390.939235687
2247,12313.68359375,5732913.001298904
2248,12329.98046875,5735488.885879517
2249,12334.8125,5738009.465456009
2250,12342.40234375,5740553.9355278015
2251,12346.5625,5743217.787265778
2252,12365.953125,5745737.256526947
2253,12364.546875,5748292.61302948
2254,12382.6328125,5750807.769536972
2255,12361.14453125,5753501.6140937805
2256,12362.29296875,5756044.428110123
2257,12380.12890625,5758574.79095459
2258,12400.08203125,5761139.730215073
2259,12401.6640625,5763819.052219391
2260,12414.953125,5766398.987531662
2261,12411.0,5768926.729679108
2262,12408.31640625,5771443.97687912
2263,12416.02734375,5774118.77822876
2264,12423.14453125,5776688.421010971
2265,12437.140625,5779216.248512268
2266,12451.73828125,5781749.202489853
2267,12441.375,5784306.610107422
2268,12435.3046875,5786857.677698135
2269,12442.71484375,5789383.2013607025
2270,12441.86328125,5791962.997198105
2271,12460.55859375,5794646.218538284
2272,12488.28125,5797173.767328262
2273,12471.8671875,5799744.306564331
2274,12500.26953125,5802291.335821152
2275,12487.421875,5804818.009376526
2276,12472.80078125,5807346.502304077
2277,12484.77734375,5809873.31032753
2278,12501.109375,5812410.851478577
2279,12501.14453125,5814961.188793182
2280,12514.265625,5817509.513378143
2281,12520.1171875,5820074.282646179
2282,12522.62890625,5822650.705814362
2283,12537.71484375,5825391.619443893
2284,12549.13671875,5827970.987319946
2285,12560.33984375,5830509.459257126
2286,12549.5859375,5833050.105810165
2287,12565.44140625,5835739.09330368
2288,12560.92578125,5838264.865636826
2289,12570.984375,5840795.8064079285
2290,12584.44140625,5843371.211767197
2291,12572.26171875,5846021.0201740265
2292,12594.13671875,5848571.660280228
2293,12599.9375,5851109.942436218
2294,12598.96875,5853667.644023895
2295,12599.37109375,5856434.983253479
2296,12603.28515625,5858960.148572922
2297,12615.03515625,5861497.163534164
2298,12631.31640625,5864295.965671539
2299,12626.9375,5866841.980457306
2300,12638.5234375,5869379.330873489
2301,12636.88671875,5871916.905403137
2302,12663.3671875,5874435.751914978
2303,12641.6015625,5877086.102724075
2304,12650.16796875,5879627.606630325
2305,12639.6015625,5882191.051483154
2306,12650.921875,5884921.324014664
2307,12653.0625,5887454.037666321
2308,12672.41015625,5890003.046512604
2309,12665.6015625,5892528.000593185
2310,12680.25,5895069.324731827
2311,12669.90625,5897728.865623474
2312,12680.33984375,5900254.514217377
2313,12699.40625,5902779.562473297
2314,12686.25,5905295.597314835
2315,12689.54296875,5907893.34487915
2316,12708.16796875,5910410.836696625
2317,12696.0234375,5912931.19764328
2318,12696.3515625,5915478.202581406
2319,12693.734375,5918023.152828217
2320,12703.8828125,5920765.352725983
2321,12720.03515625,5923278.49316597
2322,12732.62109375,5925815.53196907
2323,12725.40234375,5928515.094280243
2324,12719.05859375,5931052.297830582
2325,12723.51953125,5933663.013219833
2326,12736.21484375,5936180.876731873
2327,12750.12890625,5938703.413009644
2328,12750.796875,5941401.511669159
2329,12756.5234375,5943928.811311722
2330,12749.26953125,5946522.232532501
2331,12754.421875,5949246.900320053
2332,12760.28515625,5951823.043346405
2333,12768.6875,5954346.168518066
2334,12788.3046875,5956895.33829689
2335,12793.69140625,5959440.288305283
2336,12804.03515625,5962185.411691666
2337,12791.04296875,5964723.916530609
2338,12810.671875,5967343.029975891
2339,12801.9921875,5970033.842325211
2340,12819.38671875,5972589.320421219
2341,12834.421875,5975111.865282059
2342,12838.7578125,5977657.358884811
2343,12835.859375,5980187.349796295
2344,12819.88671875,5982874.387025833
2345,12826.02734375,5985398.650169373
2346,12833.96875,5987920.667886734
2347,12847.0078125,5990457.549095154
2348,12842.8984375,5993066.00689888
2349,12847.2890625,5995664.449691772
2350,12859.09765625,5998209.553003311
2351,12868.90625,6000825.470209122
2352,12845.5546875,6003644.730806351
2353,12838.00390625,6006157.97829628
2354,12844.01953125,6008693.966627121
2355,12857.984375,6011211.780071259
2356,12873.13671875,6013807.88397789
2357,12859.421875,6016332.657814026
2358,12868.90625,6018861.419916153
2359,12890.98046875,6021397.838830948
2360,12899.14453125,6023972.940444946
2361,12889.05859375,6026654.367446899
2362,12888.5625,6029171.86498642
2363,12898.8125,6031721.579551697
2364,12883.6484375,6034514.28771019
2365,12888.203125,6037111.138343811
2366,12905.0234375,6039634.438037872
2367,12915.53515625,6042152.190446854
2368,12914.3359375,6044687.385797501
2369,12930.59375,6047401.2541770935
2370,12943.546875,6049974.82085228
2371,12941.375,6052512.071847916
2372,12922.08203125,6055244.922161102
2373,12934.71484375,6057783.244132996
2374,12952.25390625,6060297.714710236
2375,12935.45703125,6062874.256372452
2376,12939.4375,6065482.644081116
2377,12948.85546875,6068032.129049301
2378,12965.484375,6070644.578456879
2379,12972.83984375,6073168.278694153
2380,12982.41015625,6075966.448545456
2381,12997.54296875,6078479.39825058
2382,12991.01953125,6081055.133104324
2383,12997.34765625,6083578.1173706055
2384,13007.41015625,6086133.191347122
2385,13010.6171875,6088654.871940613
2386,13009.50390625,6091212.108373642
2387,13002.51953125,6093839.843511581
2388,13011.890625,6096386.917352676
2389,12970.5625,6099060.326576233
2390,12942.94140625,6101614.120721817
2391,12944.0,6104234.2619895935
2392,12933.64453125,6106757.248163223
2393,12929.203125,6109275.213718414
2394,12953.32421875,6111815.3920173645
2395,12966.7578125,6114369.822502136
2396,12952.078125,6117099.088668823
2397,12942.4765625,6119915.204048157
