Number of Processes,Memory Used (MB),Time Elapsed (ms)
535,12183.828125,274198.3976364136
536,12204.62109375,274715.0194644928
537,12228.9375,275223.3600616455
538,12254.3203125,275738.58189582825
539,12286.11328125,276246.62232398987
540,12317.87890625,276753.4465789795
541,12303.84375,277262.9852294922
542,12339.41796875,277780.2121639252
543,12407.64453125,278314.89396095276
544,12507.33984375,278821.5637207031
545,12569.66796875,279341.7077064514
546,12697.51171875,279856.2026023865
547,12746.9453125,280363.3613586426
548,12774.66015625,280875.1401901245
549,12806.9140625,281386.48772239685
550,12847.6171875,281897.2358703613
551,12880.88671875,282404.6757221222
552,12926.49609375,282942.69037246704
553,12969.91015625,283455.9965133667
554,13020.28125,283966.4123058319
555,13064.953125,284481.58407211304
556,13120.65234375,284991.86420440674
557,13204.38671875,285501.2512207031
558,13234.0234375,286012.4468803406
559,13283.64453125,286520.44320106506
560,13320.7734375,287033.6871147156
561,13342.81640625,287557.34944343567
562,13370.0,288069.3576335907
563,13406.8671875,288576.44414901733
564,13434.36328125,289084.56921577454
565,13451.203125,289593.5752391815
566,13459.39453125,290102.44607925415
567,13480.0859375,290610.4488372803
568,13521.265625,291120.6102371216
569,13558.80078125,291630.3606033325
570,13578.32421875,292138.4987831116
571,13620.85546875,292646.9690799713
572,13632.91796875,293156.4712524414
573,13650.03125,293664.6378040314
574,13655.640625,294171.7357635498
575,13680.96484375,294680.32717704773
576,13713.69140625,295192.3031806946
577,13730.48046875,295700.5543708801
578,13748.046875,296211.50493621826
579,13751.08984375,296723.31190109253
580,13777.7578125,297231.50873184204
581,13808.28515625,297745.10169029236
582,13832.05859375,298251.68538093567
583,13840.13671875,298773.9329338074
584,13871.2890625,299282.16671943665
585,13905.33203125,299791.4135456085
586,13933.24609375,300299.6463775635
587,13933.52734375,300807.53803253174
588,13943.28125,301315.5400753021
589,13985.57421875,301825.6652355194
590,14014.36328125,302333.70184898376
591,14021.51171875,302876.8050670624
592,14054.16796875,303399.0550041199
593,14072.96484375,303907.5951576233
594,14105.32421875,304419.5110797882
595,14102.6640625,304960.5784416199
596,14131.08203125,305469.9242115021
597,14167.953125,305978.764295578
598,14189.26953125,306485.9025478363
599,14213.65234375,306993.5653209686
600,14247.92578125,307517.93909072876
601,14303.8359375,308025.79641342163
602,14331.625,308532.7229499817
603,14363.0390625,309041.71681404114
604,14364.0625,309551.97381973267
605,14372.48828125,310062.61134147644
606,14407.06640625,310570.6088542938
607,14434.91796875,311078.61256599426
608,14468.76171875,311590.2018547058
609,14496.4375,312099.00283813477
610,14519.3203125,312606.7125797272
611,14534.68359375,313118.6635494232
612,14580.265625,313628.9131641388
613,14624.3203125,314139.5707130432
614,14636.35546875,314653.07354927063
615,14691.80859375,315171.8201637268
